"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Dallas Cowboys","","46.5","14.3","11.7","18.2","2.6","0.0","359.7","5,663.6","114.5"
"Philadelphia Eagles","","53.6","12.6","9.5","16.2","2.6","0.4","359.8","5,555.0","114.5"
"New England Patriots","","45.1","14.6","9.3","13.6","2.8","0.4","361.2","5,713.1","110.8"
"Pittsburgh Steelers","","49.4","14.7","8.7","12.8","2.0","0.1","351.3","5,621.7","108.5"
"San Francisco 49ers","","47.4","13.7","9.8","15.7","2.3","0.0","316.3","5,483.2","108.2"
"Cleveland Browns","","45.3","13.9","9.6","14.3","2.4","0.2","365.6","5,547.4","107.3"
"Miami Dolphins","","45.8","13.6","9.5","15.0","2.2","0.5","369.7","5,598.7","106.5"
"New Orleans Saints","","46.5","14.0","9.0","12.9","2.3","0.2","337.3","5,336.0","106.3"
"Washington Commanders","","47.3","12.3","9.4","15.3","2.2","0.5","383.8","5,674.4","105.1"
"Indianapolis Colts","","43.9","13.0","10.6","16.3","2.0","0.9","389.2","5,675.1","105.1"
"Buffalo Bills","","42.9","14.7","9.7","13.4","2.0","0.5","329.4","5,599.8","105.0"
"Kansas City Chiefs","","45.6","12.7","9.4","14.2","2.3","0.5","377.5","5,791.4","104.7"
"Green Bay Packers","","42.5","14.7","8.8","13.3","2.3","0.5","371.3","5,818.9","104.2"
"Los Angeles Chargers","","42.5","14.2","9.7","15.4","2.1","0.6","401.3","6,122.7","104.1"
"Detroit Lions","","41.8","13.4","10.3","16.1","2.2","0.6","411.8","6,171.3","103.6"
"New York Jets","","44.7","13.2","8.6","13.1","2.2","0.9","358.1","5,529.8","103.4"
"Houston Texans","","41.7","13.8","10.5","15.2","2.0","0.5","391.2","5,723.6","103.3"
"Seattle Seahawks","","43.7","13.4","9.7","15.3","2.0","0.7","383.0","5,942.5","103.2"
"Minnesota Vikings","","42.0","13.8","9.8","14.4","2.1","0.2","422.1","6,129.6","102.4"
"Baltimore Ravens","","44.7","12.3","9.8","16.1","2.1","0.1","349.1","5,775.8","101.9"
"Tampa Bay Buccaneers","","42.8","11.8","10.9","16.9","2.1","0.1","379.0","5,669.8","101.0"
"Jacksonville Jaguars","","39.3","13.2","10.0","15.8","2.3","0.0","361.0","5,693.3","99.4"
"New York Giants","","40.4","12.6","10.2","17.4","2.0","0.5","390.6","6,006.9","99.0"
"Tennessee Titans","","41.1","13.7","8.4","12.2","2.3","0.1","355.0","5,616.4","98.9"
"Denver Broncos","","41.4","13.8","9.1","14.7","1.9","0.1","370.9","5,690.6","98.4"
"Cincinnati Bengals","","39.8","13.4","9.8","15.3","2.0","0.1","353.1","5,777.3","98.4"
"Los Angeles Rams","","41.9","13.0","8.4","12.4","2.2","0.1","397.9","5,912.2","98.0"
"Carolina Panthers","","40.7","11.9","9.6","12.7","2.3","0.3","368.5","5,559.1","97.9"
"Atlanta Falcons","","34.6","13.8","9.8","15.9","2.3","0.6","378.7","5,847.3","96.7"
"Arizona Cardinals","","39.7","11.6","9.9","14.8","2.1","0.1","416.3","5,858.9","95.2"
"Chicago Bears","","35.3","12.7","9.4","14.3","2.0","0.6","402.8","6,269.2","92.6"
"Las Vegas Raiders","","36.0","10.3","8.9","13.6","2.2","0.4","420.6","6,118.0","88.4"
""
""
