"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Justin Jefferson","MIN","WR1","3.6","18.9","0.3","111.3","1,487.9","7.8","0.3","310.0"
"Christian McCaffrey","SF","RB1","216.1","984.8","7.2","74.6","617.1","4.1","0.5","301.7"
"Ja'Marr Chase","CIN","WR2","4.6","23.1","0.1","105.6","1,357.7","9.7","1.1","300.5"
"Austin Ekeler","LAC","RB2","189.7","852.4","9.2","77.9","594.8","3.8","1.4","297.4"
"Tyreek Hill","MIA","WR3","8.8","53.1","0.5","106.5","1,366.6","7.6","0.3","296.5"
"Travis Kelce","KC","TE1","0.0","2.3","0.0","104.1","1,227.6","9.9","0.6","285.3"
"CeeDee Lamb","DAL","WR4","8.4","53.5","0.3","99.5","1,272.8","7.3","0.3","277.1"
"Cooper Kupp","LAR","WR5","7.6","71.3","0.8","99.7","1,185.1","7.1","0.7","271.2"
"Stefon Diggs","BUF","WR6","0.5","2.8","0.0","97.1","1,240.7","8.0","0.4","268.8"
"Davante Adams","LV","WR7","1.8","7.7","0.1","94.2","1,242.7","8.2","0.3","268.2"
"Amon-Ra St. Brown","DET","WR8","7.9","61.7","0.5","101.3","1,128.8","5.6","0.2","256.4"
"Tony Pollard","DAL","RB3","224.7","1,108.9","8.2","46.1","377.3","2.3","0.5","256.3"
"Saquon Barkley","NYG","RB4","251.1","1,116.3","7.6","53.3","371.3","1.7","0.7","256.3"
"Derrick Henry","TEN","RB5","308.4","1,346.3","9.1","32.1","268.6","0.8","1.8","249.8"
"Bijan Robinson","ATL","RB6","244.9","1,159.5","8.4","40.6","327.5","1.9","1.9","247.6"
"Nick Chubb","CLE","RB7","276.9","1,378.4","8.8","28.9","235.7","1.1","1.1","247.1"
"Josh Jacobs","LV","RB8","259.1","1,207.2","9.3","39.0","282.6","0.8","1.1","246.7"
"A.J. Brown","PHI","WR9","0.3","3.4","0.0","78.0","1,173.8","8.0","0.6","243.0"
