"Player","Team","FG","FGA","XPT","FPTS"
"Justin Tucker","BAL","29.1","33.0","41.4","128.9"
"Harrison Butker","KC","26.8","31.4","48.3","128.7"
"Tyler Bass","BUF","27.7","32.3","43.7","126.8"
"Cameron Dicker","LAC","27.8","32.2","42.6","126.2"
"Daniel Carlson","LV","30.0","33.4","35.0","125.2"
"Evan McPherson","CIN","27.8","32.6","40.3","123.6"
"Younghoe Koo","ATL","29.3","32.8","35.5","123.4"
"Jake Elliott","PHI","25.5","29.5","46.1","122.5"
"Jason Myers","SEA","27.0","30.9","39.9","120.8"
"Greg Joseph","MIN","27.3","32.8","38.0","120.0"
"Greg Zuerlein","NYJ","28.4","34.8","33.9","119.1"
"Jake Moody","SF","26.5","31.7","39.2","118.8"
"Riley Patterson","DET","25.6","30.2","41.4","118.2"
"Brandon McManus","JAC","28.0","33.1","33.7","117.8"
"Graham Gano","NYG","28.1","31.2","32.8","117.2"
"Jason Sanders","MIA","26.5","31.6","36.6","116.1"
"Brandon Aubrey","DAL","25.6","30.6","37.9","114.6"
"Dustin Hopkins","CLE","25.1","30.2","38.8","114.1"
"Cairo Santos","CHI","26.7","30.2","33.5","113.6"
"Wil Lutz","DEN","26.4","32.5","34.2","113.4"
"Chris Boswell","PIT","27.2","32.2","31.4","113.0"
"Matt Gay","IND","26.4","29.7","32.4","111.5"
"Ka'imi Fairbairn","HOU","26.3","30.3","31.6","110.5"
"Nick Folk","TEN","24.5","29.0","36.3","109.8"
"Eddy Pineiro","CAR","26.5","30.0","30.2","109.6"
"Chad Ryland","NE","25.8","30.3","31.7","109.1"
"Michael Badgley","DET","24.5","28.8","34.9","108.4"
"Anders Carlson","GB","23.9","28.6","35.5","107.1"
"Blake Grupe","NO","23.6","28.3","35.6","106.4"
"Matt Prater","ARI","24.8","28.9","31.6","106.0"
"Brett Maher","LAR","24.3","27.6","31.3","104.3"
"Joey Slye","WAS","25.4","30.0","26.8","103.0"
"Chase McLaughlin","TB","23.3","27.8","32.5","102.5"
"Cade York","TEN","0.0","0.0","0.0","0.0"
""
""
