"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Patrick Mahomes II","KC","602.0","400.0","4,757.1","35.5","11.1","63.7","333.3","2.9","1.9","368.4"
"Josh Allen","BUF","565.8","355.4","4,159.5","30.2","14.0","115.1","647.5","5.9","4.1","365.5"
"Jalen Hurts","PHI","480.2","309.9","3,702.4","23.0","9.9","156.3","787.1","10.2","2.8","364.3"
"Lamar Jackson","BAL","474.9","301.3","3,421.3","24.1","11.5","145.7","911.5","5.2","2.9","337.9"
"Joe Burrow","CIN","583.9","397.0","4,476.1","31.7","12.9","63.8","265.4","3.6","2.3","336.7"
"Justin Fields","CHI","417.4","258.4","2,980.9","20.2","12.7","151.2","985.9","6.3","3.2","317.6"
"Justin Herbert","LAC","618.7","416.1","4,520.5","28.7","12.5","55.1","204.5","1.6","2.0","309.4"
"Deshaun Watson","CLE","496.1","317.4","3,752.9","23.3","10.9","97.2","482.9","3.9","1.8","300.8"
"Dak Prescott","DAL","543.0","357.6","4,034.2","28.0","13.5","58.0","243.0","2.1","3.0","290.5"
"Daniel Jones","NYG","511.8","332.8","3,451.6","20.0","9.9","107.9","620.9","4.4","4.0","288.7"
"Trevor Lawrence","JAC","570.4","372.0","4,005.8","25.2","12.0","62.7","289.3","3.4","5.1","288.1"
"Kirk Cousins","MIN","581.0","385.4","4,318.5","28.7","12.2","31.5","93.2","1.3","2.7","287.3"
"Geno Smith","SEA","536.4","364.6","3,978.6","26.3","11.2","61.1","305.8","1.6","3.4","286.1"
"Aaron Rodgers","NYJ","551.0","355.8","3,977.5","26.4","8.5","35.9","122.5","1.4","2.6","271.6"
"Russell Wilson","DEN","506.0","318.1","3,735.4","22.7","10.9","62.7","311.6","2.5","2.1","271.4"
"Tua Tagovailoa","MIA","526.5","343.7","4,021.2","25.7","12.1","42.4","128.7","1.7","1.8","270.8"
"Jared Goff","DET","560.1","367.5","4,146.9","26.4","10.9","32.5","84.5","1.0","3.5","268.1"
"Anthony Richardson","IND","476.2","293.4","3,109.9","16.9","12.9","140.1","620.4","4.2","2.2","262.2"
"Derek Carr","NO","503.7","330.6","3,872.6","23.2","11.6","34.4","117.1","0.7","2.6","247.0"
"Kenny Pickett","PIT","510.0","322.6","3,360.9","17.8","12.4","65.7","345.8","3.2","1.5","244.2"
"Jordan Love","GB","534.6","338.1","3,736.8","22.1","14.3","43.6","168.3","1.4","2.6","243.9"
"Brock Purdy","SF","436.0","284.7","3,435.5","23.4","10.1","37.5","123.0","1.8","1.4","241.4"
"Matthew Stafford","LAR","513.7","340.4","3,868.8","22.5","12.9","30.0","69.9","0.8","2.8","237.8"
"Bryce Young","CAR","510.8","319.1","3,536.9","19.2","12.7","49.8","196.7","1.4","2.3","229.2"
"Mac Jones","NE","508.9","335.4","3,558.5","19.9","13.3","52.2","153.0","1.2","2.2","226.7"
"Jimmy Garoppolo","LV","484.3","320.0","3,560.1","21.3","12.0","29.9","65.1","1.5","2.3","226.1"
"C.J. Stroud","HOU","510.8","320.0","3,391.5","18.9","14.1","49.3","176.6","1.4","2.4","218.2"
"Sam Howell","WAS","507.9","316.2","3,222.6","17.4","12.7","56.1","233.9","1.8","2.3","215.8"
"Ryan Tannehill","TEN","442.1","287.1","3,187.4","18.2","10.9","41.3","161.0","2.2","2.3","213.9"
"Kyler Murray","ARI","400.4","263.0","2,691.6","12.6","9.4","73.3","397.9","2.5","2.2","199.0"
"Baker Mayfield","TB","480.9","295.6","3,112.8","16.4","11.7","35.8","126.4","1.2","2.4","193.3"
"Desmond Ridder","ATL","434.3","267.4","2,888.3","16.3","10.2","39.2","170.4","1.4","3.0","190.0"
"Joshua Dobbs","ARI","161.4","98.8","1,372.5","6.4","7.2","20.0","119.8","0.8","1.5","87.0"
"Kyle Trask","TB","173.3","104.4","1,107.6","4.9","5.7","16.2","46.5","0.2","1.1","61.9"
"Jacoby Brissett","WAS","143.4","80.7","967.4","4.0","3.3","19.0","76.5","0.6","1.3","60.4"
"Brian Hoyer","LV","97.9","59.5","742.7","4.0","4.2","10.4","32.6","0.2","0.8","44.5"
"Taylor Heinicke","ATL","94.9","58.3","683.1","3.8","3.9","17.8","50.6","0.2","1.2","42.4"
"Sam Darnold","SF","122.2","72.5","685.3","2.8","4.2","16.8","48.5","0.4","1.4","39.1"
"Malik Willis","TEN","75.1","43.1","591.7","2.2","4.8","16.2","74.4","0.4","0.9","36.1"
"Gardner Minshew II","IND","65.2","40.9","611.9","2.7","2.1","10.6","37.5","0.2","1.1","35.8"
"Will Levis","TEN","109.7","67.0","618.4","2.0","3.1","15.5","41.0","0.2","0.7","33.6"
"Mike White","MIA","88.0","52.7","580.3","2.6","3.7","12.4","20.0","0.1","0.6","31.2"
"Bailey Zappe","NE","106.6","63.2","603.6","2.5","4.6","15.4","22.1","0.1","1.0","30.5"
"Stetson Bennett","LAR","63.9","39.8","487.4","1.7","2.5","8.5","22.6","0.2","0.6","26.2"
"Davis Mills","HOU","82.1","48.1","505.2","1.6","4.0","14.3","31.3","0.2","0.6","25.9"
