NO.,Player,ROUND,Manager
6,"Justin Jefferson Min, WR",1,The Gay Tuckers
11,"Austin Ekeler LAC, RB",2,The Gay Tuckers
22,"Garrett Wilson NYJ, WR",3,The Gay Tuckers
27,"Joe Mixon Cin, RB",4,The Gay Tuckers
38,"DK Metcalf Sea, WR",5,The Gay Tuckers
43,"Kirk Cousins Min, QB",6,The Gay Tuckers
54,"Darren Waller NYG, TE",7,The Gay Tuckers
59,"Aaron Rodgers NYJ, QB",8,The Gay Tuckers
70,"Alvin Kamara NO, RB",9,The Gay Tuckers
75,"Marquise Brown Ari, WR",10,The Gay Tuckers
86,"James Cook Buf, RB",11,The Gay Tuckers
91,"Jared Goff Det, QB",12,The Gay Tuckers
102,"Courtland Sutton Den, WR",13,The Gay Tuckers
107,"Justin Tucker Bal, K",14,The Gay Tuckers
118,"Jerick McKinnon KC, RB",15,The Gay Tuckers
123,"Darnell Mooney Chi, WR",16,The Gay Tuckers
134,"Cowboys D/ST Dal, D/ST",17,The Gay Tuckers
139,"Matt Gay Ind, K",18,The Gay Tuckers
3,"Jalen Hurts Phi, QB",1,Cool Cats
14,"Travis Kelce KC, TE",2,Cool Cats
19,"Justin Fields Chi, QB",3,Cool Cats
30,"Chris Olave NO, WR",4,Cool Cats
35,"Rhamondre Stevenson NE, RB",5,Cool Cats
46,"DeAndre Hopkins Ten, WR",6,Cool Cats
51,"Chris Godwin TB, WR",7,Cool Cats
62,"James Conner Ari, RB",8,Cool Cats
67,"Jonathan Taylor Ind, RB",9,Cool Cats
78,"Cam Akers LAR, RB",10,Cool Cats
83,"Jerry Jeudy Den, WR",11,Cool Cats
94,"Dalvin Cook NYJ, RB",12,Cool Cats
99,"Skyy Moore KC, WR",13,Cool Cats
110,"JuJu Smith-Schuster NE, WR",14,Cool Cats
115,"Kyler Murray Ari, QB",15,Cool Cats
126,"Dallas Goedert Phi, TE",16,Cool Cats
131,"Ravens D/ST Bal, D/ST",17,Cool Cats
142,"Jason Myers Sea, K",18,Cool Cats
2,"Josh Allen Buf, QB",1,One Giant Leap
15,"Saquon Barkley NYG, RB",2,One Giant Leap
18,"CeeDee Lamb Dal, WR",3,One Giant Leap
31,"Tee Higgins Cin, WR",4,One Giant Leap
34,"Travis Etienne Jr. Jax, RB",5,One Giant Leap
47,"Calvin Ridley Jax, WR",6,One Giant Leap
50,"Christian Watson GB, WR",7,One Giant Leap
63,"Breece Hall NYJ, RB",8,One Giant Leap
66,"Deshaun Watson Cle, QB",9,One Giant Leap
79,"Kyle Pitts Atl, TE",10,One Giant Leap
82,"David Montgomery Det, RB",11,One Giant Leap
95,"Jahan Dotson Wsh, WR",12,One Giant Leap
98,"Jaxon Smith-Njigba Sea, WR",13,One Giant Leap
111,"Brian Robinson Jr. Wsh, RB",14,One Giant Leap
114,"Jordan Love GB, QB",15,One Giant Leap
127,"DJ Chark Jr. Car, WR",16,One Giant Leap
130,"Evan McPherson Cin, K",17,One Giant Leap
143,"Steelers D/ST Pit, D/ST",18,One Giant Leap
5,"Joe Burrow Cin, QB",1,The Cincinnati Fantasy Team
12,"Davante Adams LV, WR",2,The Cincinnati Fantasy Team
21,"Derrick Henry Ten, RB",3,The Cincinnati Fantasy Team
28,"Jaylen Waddle Mia, WR",4,The Cincinnati Fantasy Team
37,"Jahmyr Gibbs Det, RB",5,The Cincinnati Fantasy Team
44,"Aaron Jones GB, RB",6,The Cincinnati Fantasy Team
53,"Tua Tagovailoa Mia, QB",7,The Cincinnati Fantasy Team
60,"DJ Moore Chi, WR",8,The Cincinnati Fantasy Team
69,"George Kittle SF, TE",9,The Cincinnati Fantasy Team
76,"Christian Kirk Jax, WR",10,The Cincinnati Fantasy Team
85,"Brandin Cooks Dal, WR",11,The Cincinnati Fantasy Team
92,"D'Andre Swift Phi, RB",12,The Cincinnati Fantasy Team
101,"Michael Thomas NO, WR",13,The Cincinnati Fantasy Team
108,"Jamaal Williams NO, RB",14,The Cincinnati Fantasy Team
117,"Treylon Burks Ten, WR",15,The Cincinnati Fantasy Team
124,"Rondale Moore Ari, WR",16,The Cincinnati Fantasy Team
133,"Jake Elliott Phi, K",17,The Cincinnati Fantasy Team
140,"Bills D/ST Buf, D/ST",18,The Cincinnati Fantasy Team
4,"Christian McCaffrey SF, RB",1,Moist Owlets
13,"Stefon Diggs Buf, WR",2,Moist Owlets
20,"Bijan Robinson Atl, RB",3,Moist Owlets
29,"Trevor Lawrence Jax, QB",4,Moist Owlets
36,"Mark Andrews Bal, TE",5,Moist Owlets
45,"Amari Cooper Cle, WR",6,Moist Owlets
52,"Daniel Jones NYG, QB",7,Moist Owlets
61,"Drake London Atl, WR",8,Moist Owlets
68,"Dameon Pierce Hou, RB",9,Moist Owlets
77,"Brandon Aiyuk SF, WR",10,Moist Owlets
84,"J.K. Dobbins Bal, RB",11,Moist Owlets
93,"Brock Purdy SF, QB",12,Moist Owlets
100,"Raheem Mostert Mia, RB",13,Moist Owlets
109,"Gabe Davis Buf, WR",14,Moist Owlets
116,"Zach Charbonnet Sea, RB",15,Moist Owlets
125,"Kenneth Gainwell Phi, RB",16,Moist Owlets
129,"Eagles D/ST Phi, D/ST",17,Moist Owlets
144,"Riley Patterson Det, K",18,Moist Owlets
8,"Lamar Jackson Bal, QB",1,Buffalo Brown AshPandas
9,"Tyreek Hill Mia, WR",2,Buffalo Brown AshPandas
24,"Cooper Kupp LAR, WR",3,Buffalo Brown AshPandas
25,"A.J. Brown Phi, WR",4,Buffalo Brown AshPandas
40,"Najee Harris Pit, RB",5,Buffalo Brown AshPandas
41,"Kenneth Walker III Sea, RB",6,Buffalo Brown AshPandas
48,"Anthony Richardson Ind, QB",6,Buffalo Brown AshPandas
72,"Javonte Williams Den, RB",9,Buffalo Brown AshPandas
73,"Miles Sanders Car, RB",10,Buffalo Brown AshPandas
81,"Michael Pittman Jr. Ind, WR",11,Buffalo Brown AshPandas
88,"Khalil Herbert Chi, RB",11,Buffalo Brown AshPandas
89,"George Pickens Pit, WR",12,Buffalo Brown AshPandas
104,"AJ Dillon GB, RB",13,Buffalo Brown AshPandas
105,"Zay Flowers Bal, WR",14,Buffalo Brown AshPandas
120,"Elijah Mitchell SF, RB",15,Buffalo Brown AshPandas
121,"Dalton Kincaid Buf, TE",16,Buffalo Brown AshPandas
136,"Harrison Butker KC, K",17,Buffalo Brown AshPandas
137,"Saints D/ST NO, D/ST",18,Buffalo Brown AshPandas
7,"Ja'Marr Chase Cin, WR",1,Gentle Minyans
10,"Justin Herbert LAC, QB",2,Gentle Minyans
23,"Nick Chubb Cle, RB",3,Gentle Minyans
26,"Josh Jacobs LV, RB",4,Gentle Minyans
39,"T.J. Hockenson Min, TE",5,Gentle Minyans
